Number,Call No,Book Title,library id,created by library id,contribution id,Author(s),Publisher,Year Published,Pages,Donated By,Price in Rupees,Image
71,71,Rapunzel,,,,A pop-up Book,pop up Book,Jul-05,8,విజయవాడ,66,/images/books/71.JPG
72,72,అమ్మ మనస్సు,,,,దాసరి వెంకటరామణ,బాలల సాహిత్య పరిషత్,Nov-14,98,విజయవాడ,100,/images/books/72.JPG
73,73,చంద మామ కధలు,,,,M.వి.వి సత్యనారణ,oreem publications,Jul-05,76,విజయవాడ,89,/images/books/73.JPG
74,74,తపస్సు,,,,దాసరి వెంకటరామణ,National Book Trust,Jul-05,60,విజయవాడ,30,/images/books/74.JPG
75,75,చెరగని ముద్రలు,,,,అకెళ్ల రాఘవేంద్ర,A.రాఘవేంద్ర,1-2013-12,172,విజయవాడ,249,/images/books/75.JPG
76,76,పొడుపు కధలు- సామెతెలు,,,,పోత్తూరి కథలు ,అమరవతి పబ్లికేషన్స్,Nov-14,72,విజయవాడ,75,/images/books/76.JPG
77,77,యుక్తి,,,,గంగి శెట్టి శివ కుమార్,విశలంధ్రా పబ్లికేషన్స్,Apr-13,38,విజయవాడ,20,/images/books/77.JPG
78,78, ప్రేమ బందం,,,,T.వేదంత సూరి,National Book Trust,Jun-05,,విజయవాడ,18,/images/books/78.JPG
79,79,నలుగురు మూర్ఖ్లులు,,,,డా.M హరికిషన్,కర్నూలు బుక్ ట్రస్ట్,Nov-06,60,విజయవాడ,30,/images/books/79.JPG
80,80,ప్రస్థానము (నవల్స్),,,,పోన్నం రవిచంద్ర,పోన్నం ప్రభాకర్,Dec-12,335,విజయవాడ,900,/images/books/80.JPG
81,81,కోతి కోమ్మచ్చి(1వ బాగం),,,,ముళ్ల పూడి వెకటరమణ,హసం ప్రచురణలు,Sep-03,220,విజయవాడ,150,/images/books/81.JPG
82,82,కోతి కోమ్మచ్చి(2వ బాగం),,,,ముళ్ల పూడి వెకటరమణ,హసం ప్రచురణలు,Sep-03,200,విజయవాడ,150,/images/books/82.JPG
83,83,కోతి కోమ్మచ్చి (3వ భాగం),,,,ముళ్ల పూడి వెకటరమణ,హసం ప్రచురణలు,Sep-13,130,విజయవాడ,100,/images/books/83.JPG
84,84,కోసరు కోమ్మచ్చి,,,,ముళ్ల పూడి శ్రీదేవి,హసం ప్రచురణలు,Oct-14,277,విజయవాడ,200,/images/books/84.JPG
85,85,ప్రేమ కన్నామధూరమైనది,,,,రంగనయకనమ్మ,చరిత ఇంప్రెషన్స్,8/2/2010,196,విజయవాడ,60,/images/books/85.JPG
86,86,ఇదండి  మహాభారతం,,,,రంగనాయకమ్మ,చరితా ఇంప్రెషన్స్,Dec-14,486,విజయవాడ,100,/images/books/86.JPG
